Repository,Category,Subcat,Standard,Stars,Forks,Description,URL,License,Language,Top Contributors,Contributors,Created,Updated,Last Commit,Downloads,Topics
spiros/ukb-biomarker-phenotypes,Archived,,,26,3,Phenotyping algorithms for common biomarkers in primary care EHR for UK Biobank,https://github.com/spiros/ukb-biomarker-phenotypes,Apache License 2.0,,spiros,1,2020-05-14,2025-08-09,2021-02-19,0,"ehr, ehr-phenotypes, ukbiobank"
gematik/app-referencevalidator,Interoperability,Data Models & Validation,FHIR,26,4,The reference validator is a tool to perform advanced validation of FHIR resources for TI applicatio...,https://github.com/gematik/app-referencevalidator,Apache License 2.0,Java,"Gematik-Entwicklung, gematik1, alexey-tschudnowsky",3,2022-09-14,2025-07-17,2025-07-15,2087,"data, fhir, reference-implementation, reference-validator"
LaMMMy/HL7Parser,Interoperability,Data Models & Validation,HL7v2,26,9,it's a parser,https://github.com/LaMMMy/HL7Parser,Unknown,JavaScript,"LaMMMy, Bensoonius",2,2015-05-30,2025-08-06,2020-04-04,0,
Bugs5382/node-hl7-client,Interoperability,Client SDKs,HL7v2,26,5,A pure Node.js HL7 Client that allows for communication to a HL7 Broker/Server that can send properl...,https://github.com/Bugs5382/node-hl7-client,MIT License,TypeScript,"Bugs5382, semantic-release-bot, dependabot[bot]",3,2023-11-17,2025-08-21,2025-06-28,0,"hl7, hl7-client, hl7-parser"
FHIR/Ucum-java,Infrastructure,Servers,FHIR,26,17,FHIR Java library providing UCUM Services,https://github.com/FHIR/Ucum-java,Other,Java,"dotasek, grahamegrieve, brynrhodes",8,2017-08-04,2025-10-02,2025-10-01,0,
itsLeonB/rekam-medis-elektronik,Infrastructure,EHR,FHIR,26,7,A Web-based Electronic Medical Record systems that complies with Indonesia's FHIR Implementation (SA...,https://github.com/itsLeonB/rekam-medis-elektronik,Other,PHP,"itsLeonB, mandorzqy, mauritzmauritz",3,2023-08-02,2025-08-01,2025-01-08,0,"emr, fhir, healthcare, laravel, vue"
smart-on-fhir/sample-bulk-fhir-datasets,References,,,26,3,"Sample bulk export results of various sizes, for testing tools and workflows",https://github.com/smart-on-fhir/sample-bulk-fhir-datasets,Apache License 2.0,Shell,"mikix, Dtphelan1",2,2023-04-03,2025-09-27,2025-09-17,0,
ozone-his/ozone,Infrastructure,EHR,,26,36,The software distribution of Ozone HIS.,https://github.com/ozone-his/ozone,Mozilla Public License 2.0,HTML,"corneliouzbett, rbuisson, Ruhanga",11,2021-11-17,2025-10-02,2025-10-02,0,"electronic-medical-records, fhir, fhir-api, health-informatics-systems, odoo"
pr0mila/MediBeng-Whisper-Tiny,Model repo,,,26,2,MediBeng Whisper Tiny  improves doctor-patient transcription by training the Whisper Tiny model to t...,https://github.com/The-Data-Dilemma/MediBeng-Whisper-Tiny,Apache License 2.0,Python,"pr0mila, renoschubert",2,2025-04-16,2025-09-17,2025-07-24,0,"audio, audio-processing, automatic-speech-recognition, bengali, code-switch"
cyanheads/clinicaltrialsgov-mcp-server,HAI engineering,Agents & MCP Server,,26,4,"A Model Context Protocol (MCP) Server providing LLM tools for the official ClinicalTrials.gov REST API. Search and retrieve clinical trial data, including study details and more",https://github.com/cyanheads/clinicaltrialsgov-mcp-server,Apache License 2.0,TypeScript,cyanheads,1,2025-06-17,2025-10-02,2025-10-02,0,"bioinformatics, clinicaltrials, healthcare, mcp, mcp-server"
The-Data-Dilemma/MediBeng-Whisper-Tiny,Model repo,,,26,2,"MediBeng Whisper Tiny  improves doctor-patient transcription by training the Whisper Tiny model to translate mixed Bengali-English speech into English, making it easier for analysis, record-keeping, a...",https://github.com/The-Data-Dilemma/MediBeng-Whisper-Tiny,Apache License 2.0,Python,"pr0mila, renoschubert",2,2025-04-16,2025-09-17,2025-07-24,0,"audio, audio-processing, automatic-speech-recognition, bengali, code-switch"
hungnlp/viBioGPT,Model repo,,,25,2,Vietnamese Large Language Model (LLM) fine-tuned for the task of Question Answering within the medical and healthcare domain,https://github.com/hungnlp/viBioGPT,Unknown,Python,hungnlp,1,2024-02-20,2025-08-22,2024-02-20,0,
avisi/jmeter-mllp-tcpclient,Interoperability,Client SDKs,HL7v2,25,22,TCPClient for use in JMeter TCP sampler for sending messages over MLLP to a HL7 interface engine,https://github.com/avisi/jmeter-mllp-tcpclient,Apache License 2.0,Java,rkettelerij,1,2014-03-20,2024-12-12,2014-07-21,0,
kwboone/FHIR-JSON-to-XML-Converter,Interoperability,Converters & Transformers,FHIR,25,12,A JSON->XML converter for HL7 FHIR,https://github.com/kwboone/FHIR-JSON-to-XML-Converter,Unknown,JavaScript,kwboone,1,2015-09-03,2023-12-03,2015-09-08,0,
arkhn/FHIR2Dataset,Archived,,,25,3,"Query FHIR apis with SQL, for analytics and ML.",https://github.com/arkhn-oss/FHIR2Dataset,Apache License 2.0,Python,"SaulLu, LaRiffle, MarionBla",7,2020-03-09,2025-09-12,2021-03-31,0,"fhir, sql"
yehezkel/gohl7,Interoperability,Data Models & Validation,HL7v2,25,3,Hl7 Parser written in golang,https://github.com/yehezkel/gohl7,"BSD 3-Clause ""New"" or ""Revised"" License",Go,"yehezkel, amedrp",2,2014-09-30,2025-06-10,2019-12-10,0,
schmalle/medpot,Infrastructure,Auth & Proxy,"FHIR, HL7v2",25,6,HL7 / FHIR honeypot,https://github.com/schmalle/medpot,Unknown,Go,"vorband, t3chn0m4g3",2,2018-07-15,2025-03-05,2022-06-12,0,"golang, honeypot"
mithun008/FHIRServer,Infrastructure,Servers,FHIR,25,8,,https://github.com/mithun008/FHIRServer,Unknown,Java,"mithun008, dependabot[bot]",2,2018-07-29,2025-01-23,2022-07-15,0,
angusmillar/SmartHealthCard,App Development,Interface,FHIR,25,14,Open-source .NET library for generating FHIR Smart Health Cards,https://github.com/angusmillar/SmartHealthCard,MIT License,C#,"angusmillar, snowke",2,2021-05-23,2025-04-29,2023-11-25,0,
lantanagroup/trifolia-on-fhir,Infrastructure,Tooling,FHIR,25,9,Sister product to Trifolia Workbench that has native support for FHIR resources,https://github.com/lantanagroup/trifolia-on-fhir,Apache License 2.0,TypeScript,"seanmcilvenna, bstewartlg, arianamihailescu",16,2018-08-28,2024-08-31,2024-04-25,182,"angular, engineering, node-js"
Interop-Sante/hl7.fhir.fr.core,References,,,25,6,FHIR FrCore Implementation Guide,https://github.com/Interop-Sante/hl7.fhir.fr.core,Other,GLSL,"nriss, ypoiron, Rosnyni",6,2022-11-16,2025-09-18,2025-09-18,0,"core, fhir, hl7"
HL7/fhircast-docs,References,,,25,22,FHIRcast documentation,https://github.com/HL7/fhircast-docs,Other,GLSL,"isaacvetter, bvdh, EricOnFHIR",19,2017-10-02,2025-08-29,2025-08-29,23,
HL7/genomics-reporting,References,,,25,13,"Source for the HL7 Genomics work group's ""Clinical Genomics-Reporting"" FHIR implementation guide",https://github.com/HL7/genomics-reporting,Other,GLSL,"sirkyp, patrick-werner, James-R-Jones",12,2018-03-27,2025-10-01,2025-09-18,0,
NCTraCSIDSci/camp-fhir,Interoperability,Data Standards & Mapping,"FHIR, OMOP-CDM",25,8,,https://github.com/NCTraCSIDSci/camp-fhir,MIT License,Java,"jameschump, asiyahmad, pikovach",7,2019-02-04,2025-02-03,2025-02-03,246,
onaio/fhir-web,App Development,Profiling & Authoring,FHIR,25,26,A web based interface for administering FHIR based digital health solutions,https://github.com/onaio/fhir-web,Other,TypeScript,"peterMuriuki, KipSigei, ashfahan",22,2020-09-02,2025-09-23,2025-02-13,0,"fhir, hacktoberfest, keycloak, opensrp, opensrp-web"
OHDSI/Data2Evidence,Infrastructure,Analytics,OMOP-CDM,25,6,Data2Evidence is an end-to-end solution for management and analysis of OMOP data - https://data2evidence.org,https://github.com/OHDSI/Data2Evidence,Apache License 2.0,TypeScript,"p-hoffmann, suwarnoong, brandantck",18,2024-12-06,2025-10-03,2025-10-03,22,"ohdsi, omop"
the-momentum/fhir-mcp-server,HAI engineering,Agents & MCP Server,,25,3,FHIR MCP Server for handling medical data standard.,https://github.com/the-momentum/fhir-mcp-server,MIT License,Python,"DominikCywinski, KaliszS, bartmichalak",3,2025-07-01,2025-09-25,2025-09-22,0,"ehr, fhir, healthcare, healthcare-applications, mcp"
panates/hl7v2,Interoperability,Data Models & Validation,HL7v2,24,12,"Advanced HL7 library for NodeJS. Includes parser, serializer, server and client classes.",https://github.com/panates/hl7v2,MIT License,TypeScript,"erayhanoglu, srosenda, soup-in-boots",6,2018-10-18,2025-09-29,2025-09-29,0,"client, hl7, hl7v2, javascript, nodejs"
angusmillar/Deprecated-Pyro,Archived,,,24,7,FHIR Server,https://github.com/angusmillar/Deprecated-Pyro,Other,C#,"angusmillar, vadi2, eug48",3,2018-05-03,2024-06-07,2019-09-01,0,"dotnet, fhir, fhir-api, fhir-server, fhirserver"
hansenms/FhirLoader,Archived,,,24,9,Simple command line FHIR loader,https://github.com/hansenms/FhirLoader,Unknown,C#,"hansenms, c-w",2,2020-02-20,2023-10-29,2020-07-24,0,
evanlucas/nodengine-hl7,Interoperability,Data Models & Validation,HL7v2,24,9,HL7 parser for nodengine,https://github.com/evanlucas/nodengine-hl7,MIT License,JavaScript,"evanlucas, dave92082, 360disrupt",5,2014-02-06,2023-07-22,2016-05-25,0,"hl7, hl7-parser"
openlifescience-ai/ai-deadlines,Lists,,,24,5,,https://github.com/openlifescience-ai/ai-deadlines,Unknown,JavaScript,"BLooDBRothER, monk1337, tnaumann",4,2023-01-10,2025-06-03,2024-02-13,0,"acl, acm, biomedical, clinical, clinical-research"
openmrs/openmrs-module-hl7query,Infrastructure,EHR,HL7v2,24,41,An OpenMRS module to export HL7 messages,https://github.com/openmrs/openmrs-module-hl7query,Other,Java,"surangak, rkorytkowski, dkayiwa",11,2012-07-26,2025-06-16,2021-07-02,0,
cqframework/cql-exec-fhir,Interoperability,Data Models & Validation,"FHIR, CQL",24,11,A FHIR data source for the JavaScript CQL Execution project,https://github.com/cqframework/cql-exec-fhir,Apache License 2.0,JavaScript,"cmoesel, AndrewBird81, mgramigna",5,2018-05-24,2025-08-25,2025-08-25,0,
SMARTMarkers/smartmarkers-ios,App Development,Framework,FHIR,24,3,SMART Markers framework for creating apps that connect patient generated data to point of care syste...,https://github.com/SMARTMarkers/smartmarkers-ios,Other,Swift,raheelsayeed,1,2019-11-20,2025-05-17,2024-08-22,0,"fhir, fhir-apps, fhir-server, healthkit, hl7"
FirelyTeam/Fhir.Metrics,Interoperability,Data Standards & Mapping,FHIR,24,14,UCUM - Unified Code for Units of Measure Implementation,https://github.com/FirelyTeam/Fhir.Metrics,"BSD 3-Clause ""New"" or ""Revised"" License",C#,"alexzautke, mharthoorn, marcovisserFurore",10,2014-04-28,2025-05-28,2025-04-15,0,sdk
IGUHealth/IGUHealth,App Development,Framework,FHIR,24,4,FHIR Development Platform,https://github.com/IGUHealth/IGUHealth,Other,TypeScript,"confused-moniker, dependabot[bot], vorspiel-inator",3,2023-06-13,2025-06-18,2025-06-18,0,
StanfordBDHG/HealthKitOnFHIR,Interoperability,Converters & Transformers,"FHIR, iomt",24,9,Converts HealthKit data to HL7 FHIR resources,https://github.com/StanfordBDHG/HealthKitOnFHIR,MIT License,Swift,"vishnuravi, PSchmiedmayer, lukaskollmer",7,2022-11-23,2025-09-26,2025-09-26,0,"fhir, healthkit, stanford, swift"
MitosEHR/MitosEHR-Official,Infrastructure,EHR,,23,29,MitosEHR Official Development Repository,https://github.com/MitosEHR/MitosEHR-Official,Other,JavaScript,"vela1606, rockyman2, ejc21",3,2011-03-03,2024-08-07,2012-06-13,0,
awslabs/fhir-works-on-aws-authz-rbac,Archived,,,23,15,"A role based access control implementation of the FHIR Works on AWS framework, utilizing Cognito and...",https://github.com/awslabs/fhir-works-on-aws-authz-rbac,Apache License 2.0,TypeScript,"rsmayda, carvantes, nguyen102",11,2020-07-23,2023-12-21,2023-04-13,0,"aws, fhir, fhir-works, healthcare, hl7"
IHE/fhir,References,,,23,7,Files related to the definition of IHE profiles that depend on HL7 FHIR that are not part of an Impl...,https://github.com/IHE/fhir,Creative Commons Attribution 4.0 International,GLSL,"JohnMoehrke, emmanurse, gregoriocanal",13,2018-07-12,2024-07-03,2023-11-08,0,ihe-publishing
Pharma-Intelligence/HL7,Interoperability,Data Models & Validation,HL7v2,23,14,HL7 Parsing library for PHP,https://github.com/Pharma-Intelligence/HL7,MIT License,PHP,,0,2015-01-16,2025-05-27,2015-04-17,0,
hl7germany/basisprofil-de-r4,References,,,23,6,,https://github.com/hl7germany/basisprofil-de-r4,Unknown,GLSL,"alexzautke, patrick-werner, ylboerner",13,2019-07-03,2025-09-27,2025-09-27,0,"fhir, fhir-profiles"
hms-dbmi/halyos,App Development,Interface,FHIR,23,8,Redesigning the Patient Portal Experience with SMART on FHIR.,https://github.com/hms-dbmi/halyos,MIT License,JavaScript,"samson920, vsocrates, flekschas",3,2017-07-12,2025-06-25,2021-10-31,0,"ehr, fhir, fhir-client, halyos, hidivelab"
microsoft/FitbitOnFHIR,Interoperability,Gateways & Connectors,"FHIR, iomt",23,7,,https://github.com/microsoft/FitbitOnFHIR,MIT License,Python,"cloud-sean, namalu, microsoftopensource",8,2021-02-24,2025-07-08,2023-07-31,0,
WorldHealthOrganization/smart-anc,References,,,23,17,WHO Antenatal Care Guidelines IG,https://github.com/WorldHealthOrganization/smart-anc,Other,Liquid,"sliver007, brynrhodes, ZackAustin",5,2019-06-24,2025-08-27,2025-06-25,6,"clinical-decision-support, clinical-guidelines, cql, fhir"
dustn1259/EHRCon,Model repo,Eval,,23,1,Dataset for Checking Consistency between Unstructured Notes and Structured Tables in Electronic Heal...,https://github.com/dustn1259/EHRCon,Unknown,Python,"dustn1259, jiho283",2,2024-06-03,2025-07-18,2024-08-21,0,
cerner/bunsen-tutorial,Archived,,,22,12,Tutorial for exploring FHIR data with Apache Spark in an interactive notebook,https://github.com/cerner/bunsen-tutorial,Unknown,Jupyter Notebook,rbrush,1,2018-06-14,2024-02-29,2018-11-16,0,"apache-spark, bunsen, fhir"
SaxxonPike/NextLevelSeven,Archived,,,22,21,A fast and simple library for Health Level Seven (HL7) v2 messages.,https://github.com/SaxxonPike/NextLevelSeven,ISC License,C#,"SaxxonPike, kfrancis",2,2015-10-22,2024-09-06,2018-12-03,0,"c-sharp, hl7"
mcode/mcode-extraction-framework,Infrastructure,Tooling,FHIR,22,1,A Node.js framework for extracting mCODE FHIR resources,https://github.com/mcode/mcode-extraction-framework,Apache License 2.0,JavaScript,"Dtphelan1, jafeltra, julianxcarter",10,2020-04-28,2025-08-25,2023-12-12,0,
scotthlee/NRC,Model repo,Synthetic Data,,22,6,Natural language generation for discrete data in EHRs,https://github.com/scotthlee/NRC,Apache License 2.0,Python,scotthlee,1,2018-06-01,2023-07-06,2019-06-26,0,"ehr, keras, natural-language-generation, public-health"
LinuxForHealth/dicom-fhir-converter,Interoperability,Converters & Transformers,"FHIR, DICOM",22,17,Converts DICOM Resources to FHIR Resources,https://github.com/LinuxForHealth/dicom-fhir-converter,Apache License 2.0,Python,evbaron,1,2020-11-16,2025-05-21,2020-11-18,0,
seattleflu/id3c,Infrastructure,Analytics,,22,5,Data logistics system enabling real-time pathogen surveillance. Built for the Seattle Flu Study.,https://github.com/seattleflu/id3c,MIT License,PLpgSQL,"tsibley, joverlee521, kairstenfay",13,2019-04-04,2023-07-17,2023-12-04,0,"cli, data-distribution, etl, fhir, id3c"
HL7/cql,References,,,22,18,Clincal Quality Language Specification,https://github.com/HL7/cql,Other,HTML,"brynrhodes, zoedalley, abdullah-git1",13,2018-03-13,2025-08-08,2025-08-08,0,"cds, clinical-decision-support, clinical-quality-language, clinical-quality-measurement, cql"
fhircast/sandbox.js,App Development,Tooling,FHIR,22,6,JavaScript FHIRcast sandbox,https://github.com/fhircast/sandbox.js,GNU Affero General Public License v3.0,HTML,"mbellehumeur, singhashish024, dependabot[bot]",3,2018-10-17,2025-06-17,2024-08-18,0,"fhir, fhircast, javascript, nodejs"
JohannesOehm/FhirExtinguisher,Model Development,Dataset Processing,FHIR,22,2,FHIR Search Interface & Flatten FHIR resources into CSVs/DataFrames using FHIRPath.,https://github.com/JohannesOehm/FhirExtinguisher,Apache License 2.0,Vue,"JohannesOehm, ywarnecke",2,2020-11-12,2025-06-18,2025-04-18,0,"dataframes, fhir, questionnaire, r, sas"
samply/blazectl,App Development,Tooling,FHIR,22,6,Control your FHIR® Server from the Command Line,https://github.com/samply/blazectl,Apache License 2.0,Go,"alexanderkiel, renovate[bot], DiCanio",4,2019-07-10,2025-08-14,2025-08-14,85916,"cli, fhir, fhir-client, go, golang"
flexpa/awesome-fhir,Lists,,,22,4,Awesome FHIR resources for health data systems,https://github.com/flexpa/awesome-fhir,Apache License 2.0,,jdjkelly,1,2021-06-03,2025-09-05,2021-08-10,0,"fhir, fhir-server"
aws-samples/fhir-hl7v2-integration-transform,Infrastructure,Templates / Starters,FHIR,22,9,A sample of implementing FHIR Works on AWS Integration Transform,https://github.com/aws-samples/fhir-hl7v2-integration-transform,MIT No Attribution,Python,"awsbakha, amazon-auto, bnurzhanov",3,2020-10-19,2025-08-21,2020-11-02,0,"aws, fhir, fhir-works, healthcare, hl7"
aehrc/fhir-owl,Interoperability,Converters & Transformers,FHIR,22,14,Transforms OWL ontologies into FHIR code systems.,https://github.com/aehrc/fhir-owl,Other,Java,"andrewpatto, alecdorenkamp, fiendish",7,2019-03-05,2025-07-31,2023-03-31,122,
ansforge/annuaire-sante-fhir-documentation,References,,,22,2,API FHIR Annuaire Santé (IRIS DP) : le nouveau service de publication développé et maintenu par l’Ag...,https://github.com/ansforge/annuaire-sante-fhir-documentation,MIT License,,"mchaabaoui, zilliw, irisdp-guest-access",8,2022-06-17,2025-09-28,2025-09-03,0,"angular, apim-portal, fhir, graviteeio, hapi-fhir"
dot-base/icd-10-api,App Development,Tooling,icd-10,22,6,Rest API to search the 10th revision of the International Statistical Classification of Diseases Dat...,https://github.com/dot-base/icd-10-api,GNU General Public License v3.0,TypeScript,"andreakreichgauer, friedow, velramiir",9,2020-07-23,2025-10-02,2025-10-02,0,"fhir, icd-10, nodejs-server, rest-api"
projecttacoma/fqm-execution,Interoperability,Data Standards & Mapping,"FHIR, CQL",22,7,fqm-execution is a library that allows users to calculate FHIR-based electronic Clinical Quality Mea...,https://github.com/projecttacoma/fqm-execution,Apache License 2.0,TypeScript,"hossenlopp, elsaperelli, lmd59",12,2020-07-20,2025-09-29,2025-09-29,0,
akiani/gym-sepsis,Model repo,,,22,3,Open AI Gym Environment For MIMIC Dataset Sepsis Patient,https://github.com/akiani/gym-sepsis,Unknown,Python,akiani,1,2019-03-07,2025-10-02,2019-03-22,0,"ai, healthcare, machine-learning, mimic-iii, reinforcement-learning"
yhzhu99/pyehr,Model repo,,,22,3,COVID-19 EHR data analysis pipeline,https://github.com/yhzhu99/pyehr,MIT License,Python,"yhzhu99, v1xerunt, SYXieee",3,2023-04-19,2025-09-28,2024-12-28,0,"benchmark, covid-19, deep-learning, ehr, ehr-data"
databricks-industry-solutions/omop-cdm,Infrastructure,Data Platforms,OMOP-CDM,22,13,Unlocking the Power of Health Data With a Modern Data Lakehouse,https://github.com/databricks-industry-solutions/omop-cdm,Other,Python,dbbnicole,1,2022-08-06,2025-06-04,2023-06-16,0,"databricks-industry-solutions, hls, lakehouse, omop-cdm, rwe"
yhzhu99/HealthFlow,Model repo,,,22,2,HealthFlow: A Self-Evolving AI Agent with Meta Planning for Autonomous Healthcare Research,https://github.com/yhzhu99/HealthFlow,Unknown,Python,"yhzhu99, Qyf216",2,2025-05-28,2025-09-26,2025-08-06,5,"ai-for-healthcare, ai-for-science, ehr, llm, llm-agent"
fhir-fuel/fhir-fuel.github.io,References,,,21,0,"Place to prepare proposal to FHIR about JSON, JSON-Schema, Swagger/OpenAPI, JSON native databases an...",https://github.com/fhir-fuel/fhir-fuel.github.io,Other,,niquola,1,2017-06-16,2024-03-09,2018-05-30,0,"fhir, fhir-spec, json, json-schema, openapi"
jmandel/kiln,HAI engineering,Templates / Starters,FHIR,22,3,Baking FHIR from raw clay,https://github.com/jmandel/kiln,"BSD 3-Clause ""New"" or ""Revised"" License",TypeScript,jmandel,1,2025-09-11,2025-10-01,2025-10-01,0,
dgrinberg/HL7-Snoop,App Development,Tooling,HL7v2,21,11,HL7 (NHapi) GUI,https://github.com/dgrinberg/HL7-Snoop,Unknown,C#,"dgrinberg, someyoungideas",2,2011-08-16,2025-01-10,2017-03-19,0,
som-shahlab/ehr_ml,Archived,,,21,4,Code for doing machine learning with various EHRs,https://github.com/som-shahlab/ehr_ml,MIT License,C++,"EthanSteinberg, jonathanlli, Siyun96",8,2020-02-08,2024-08-31,2023-02-21,0,
athiththan11/FHIR-to-Swagger,Interoperability,Converters & Transformers,FHIR,21,1,FHIR R4 to Swagger Converter Tool,https://github.com/athiththan11/FHIR-to-Swagger,MIT License,JavaScript,"athiththan11, dependabot[bot]",2,2019-07-24,2025-06-20,2021-05-16,0,"fhir, fhir-r4, hl7, nodejs, r4"
Pacmed/ehr_ood_detection,Model repo,,,21,2,"Pacmed Labs experiments on uncertainty estimation, focusing on unbalanced tabular data and classific...",https://github.com/Pacmed/ehr_ood_detection,GNU General Public License v3.0,Jupyter Notebook,"Kaleidophon, Giovannicina, LMeijerink",3,2020-06-18,2024-06-15,2021-05-26,0,
HL7/carin-bb,References,,,21,19,CARIN Blue Button IG - joint work between CARIN Alliance and HL7,https://github.com/HL7/carin-bb,Unknown,Python,"caspears, saulakravitz, amol-vyas",10,2019-05-19,2025-08-04,2025-02-17,0,
AuDigitalHealth/medserve,Archived,,,21,7,FHIR Medication server that makes it easy to make medicines terminology content available as a local...,https://github.com/AuDigitalHealth/medserve,Other,Java,"dionmcm, johngrimes, stav09",4,2018-05-25,2025-08-13,2021-02-12,0,"amt, fhir, fhir-server, hapi-server, java"
chrisby/ml-on-fhir,Model Development,Modelling & Training,FHIR,21,0,A work in progress library that fuses the HL7 FHIR standard with scikit-learn,https://github.com/chrisby/ml-on-fhir,Unknown,Jupyter Notebook,"chrisby, dependabot[bot]",2,2018-09-16,2025-06-19,2023-07-26,0,
ahdis/fhir-mapping-tutorial,References,,,21,12,,https://github.com/ahdis/fhir-mapping-tutorial,Unknown,Shell,"oliveregger, alexzautke, Dokotela",10,2016-11-25,2025-09-10,2024-11-05,0,
lhs-open/synthetic-data,Model Development,Synthetic Data,FHIR,21,2,Open Synthea patient data for machine learning and team training.,https://github.com/lhs-open/synthetic-data,Other,,"lhs-open, ajchen",2,2022-10-31,2025-08-20,2023-10-26,0,"data, ehr, lhs, ml, open"
cqframework/cqf-tooling,Interoperability,Data Standards & Mapping,CQL,21,25,Tooling for CQL and IG Authors,https://github.com/cqframework/cqf-tooling,Apache License 2.0,Java,"JPercival, brynrhodes, sliver007",24,2019-03-04,2025-09-30,2025-09-30,0,"cds, clinical-quality-language, clinical-reasoning, cql, dqm"
mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,Model repo,,,21,3,Facial Expression Recognition (FER) for Mental Health Detection applies AI models like Swin Transfo...,https://github.com/mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,MIT License,Python,mujiyantosvc,1,2025-01-06,2025-09-30,2025-01-30,0,"attention-mechanism, computer-vision, deep-learning, deep-learning-framework, facial-emotion-recognition"
ocrickard/fhir-rs,Archived,,,20,8,"A simple, fast, and safe interface for FHIR (Fast Healthcare Interoperability Resources) JSON data i...",https://github.com/ocrickard/fhir-rs,MIT License,Rust,ocrickard,1,2020-02-14,2025-09-26,2021-10-19,0,
nickvane/OpenEHR,References,,,20,12,A C# implementation of openEHR (http://openehr.org),https://github.com/nickvane/OpenEHR,Unknown,C#,,0,2015-08-26,2025-06-26,2015-08-26,0,
OnGridSystems/PatientControlledElectronicHealthRecords,Archived,,,20,9,Patient-controlled electronic health records platform (EHR),https://github.com/OnGridSystems/PatientControlledElectronicHealthRecords,Unknown,Python,ongrid,1,2018-10-27,2024-11-01,2018-11-06,0,"blockchain, cryptocurrency, dapps, decentralized-applications, health-record"
hansenms/FhirDemo,Archived,,,20,11,Demo of deploying FHIR workflow and service in Azure,https://github.com/hansenms/FhirDemo,Unknown,PowerShell,hansenms,1,2018-10-17,2023-10-29,2018-11-16,0,
dermatologist/kedro-multimodal,Model Development,Dataset Processing,,21,3,"Template for multi-modal machine learning in healthcare using Kedro. Combine reports, tabular data and images using various fusion methods.",https://github.com/dermatologist/kedro-multimodal,Apache License 2.0,Python,dermatologist,1,2022-05-27,2025-05-12,2023-03-21,0,"healthcare, jupyter, kedro, kubeflow, machine-learning"
brianpos/FhirPathTester,App Development,Tooling,HL7v2,20,4,Simple WPF HL7 Fluentpath Tester tool,https://github.com/brianpos/FhirPathTester,Other,C#,brianpos,1,2016-10-18,2024-12-04,2019-09-01,509,"fhir, fhir-client"
Vermonster/fhir-kit-mapping-language,Interoperability,Data Standards & Mapping,FHIR,20,4,FHIR Mapping Language in Node/JS,https://github.com/Vermonster/fhir-kit-mapping-language,Unknown,JavaScript,bkaney,1,2019-08-01,2023-12-17,2019-09-07,0,
johnpaulett/txHL7,Interoperability,Gateways & Connectors,HL7v2,20,15,Async Twisted server implementation of Health Level 7 MLLP.  Formerly known as twisted-hl7,https://github.com/johnpaulett/txHL7,Other,Python,"johnpaulett, rectalogic, lowks",3,2011-09-08,2024-02-16,2020-09-08,0,
sajaddarabi/TAPER-EHR,Model repo,,,20,11,Patient Code & Text Representation Learning,https://github.com/sajaddarabi/TAPER-EHR,MIT License,Python,sajaddarabi,1,2019-08-09,2024-07-31,2020-11-10,0,
DAV-ABDA/eRezept-Referenzvalidator,Interoperability,Data Models & Validation,FHIR,20,8,eRezept-Referenzvalidator auf Basis des HAPI-FHIR-Validators,https://github.com/DAV-ABDA/eRezept-Referenzvalidator,Apache License 2.0,Java,"ABDA-FHIR, RupprechJo, murnic",5,2021-07-15,2024-06-12,2023-06-16,512,
dermatologist/fhir-questionnaire-render-react,App Development,Interface,FHIR,20,5,Render FHIR Questionnaire as a web form using FHIRFormJS,https://github.com/dermatologist/fhir-questionnaire-render-react,MIT License,JavaScript,"dermatologist, dependabot[bot], dependabot-preview[bot]",3,2018-02-06,2024-11-25,2023-11-25,0,"fhir, fhir-client, hacktoberfest, react-component, react-redux"
node-on-fhir/fhir-starter,Infrastructure,Interface,FHIR,20,2,React Components that implement FHIR resources with Google's Material Design.,https://github.com/node-on-fhir/fhir-starter,MIT License,JavaScript,awatson1978,1,2019-06-08,2024-07-14,2024-07-14,0,
BlueBash/abdm-ruby,App Development,Tooling,,20,3,"EHR systems integrate with ABHA and ABDM, enabling seamless access to patient records and improving ...",https://github.com/BlueBash/abdm-ruby,MIT License,Ruby,Bikash-bluebash,1,2024-07-22,2025-05-17,2024-09-10,0,"abdm, abha, ehr, healthrecords"
FHIR/vscode-fsh,App Development,Profiling & Authoring,FHIR,20,3,A Visual Studio Code language extension for FHIR Shorthand (FSH),https://github.com/FHIR/vscode-fsh,Apache License 2.0,JavaScript,"mint-thompson, jafeltra, cmoesel",11,2019-10-15,2025-07-22,2025-07-22,0,
HL7/fhir-ips,References,,,20,27,FHIR Implementation Guide for International Patient Summary,https://github.com/HL7/fhir-ips,Other,GLSL,"rhausam, jddamore, gcangioli",14,2017-12-15,2025-10-03,2025-10-03,0,
zemantic/fhir-auth,Infrastructure,Auth & Proxy,FHIR,20,0,A Robust Authentication and Authorization Server for FHIR Servers 🔥,https://github.com/zemantic/fhir-auth,GNU Affero General Public License v3.0,TypeScript,"rukshn, dependabot[bot]",2,2022-11-03,2025-03-02,2025-02-21,0,"authentication, authentication-backend, authentication-middleware, authorization, authorization-server"
